,PM2.5,PM10,NO,NO2,NH3,CO,SO2,O3,AQI,kfold
28952,127.86,218.3,93.5,61.21,34.59,2.2,19.64,62.15,298.0,4
28953,51.63,106.8,22.16,38.9,18.56,0.99,5.88,56.78,116.0,4
28954,17.55,45.48,2.88,6.46,2.47,0.9,6.0,31.62,58.0,4
28955,41.95,60.84,3.18,10.79,10.41,2.57,12.31,13.8,108.0,4
28956,106.39,197.16,86.73,67.07,25.26,1.21,13.82,44.09,234.0,4
28957,41.43,79.75,17.8,33.77,18.81,0.71,31.09,72.47,188.0,4
28958,24.33,83.88,8.18,7.58,9.2,0.39,6.49,29.94,85.0,4
28959,115.11,73.61666666666666,81.14,137.49,34.20333333333333,1.56,20.26,22.99,276.0,4
28960,28.9,48.32,12.98,13.58,42.02,1.26,3.09,36.6,69.0,4
28961,121.1,436.35,89.35,92.68,55.02,0.72,22.69,29.97,393.0,4
28962,101.79,160.09,27.33,44.43,7.79,0.74,19.0,39.23,112.0,4
28963,82.65,90.97,24.86,10.06,9.03,2.5,38.39,65.57,65.33333333333333,4
28964,104.81,192.2,9.59,63.48,21.06,0.23,17.01,63.87,259.0,4
28965,49.83,47.32666666666666,7.44,12.93,96.52,0.76,10.37,50.51,115.0,4
28966,33.26,121.02666666666666,17.52,26.35,3.78,0.91,14.9,18.97,242.0,4
28967,38.98,149.95,12.63,17.44,12.16,0.27,14.77,27.91,169.0,4
28968,62.27,67.18333333333334,7.04,20.35,187.56,1.04,3.71,17.26,119.0,4
28969,75.49,324.06,39.08,20.516666666666666,10.49,3.06,9.87,8.68,236.0,4
28970,21.56,55.48,3.15,12.06,18.74,0.73,10.48,49.42,85.0,4
28971,46.24,90.98,5.03,35.88,30.57,0.9,5.23,51.78,110.0,4
28972,15.19,47.85,50.79,11.2,6.82,0.45,2.82,22.01,85.0,4
28973,89.18,144.25333333333333,14.22,25.94,36.06,1.36,4.46,31.29,197.0,4
28974,17.19,35.96,5.99,21.01,23.05,0.28,6.02,15.47,42.0,4
28975,17.213333333333335,36.419999999999995,1.3433333333333335,5.236666666666667,6.593333333333334,0.0,14.363333333333335,29.496666666666666,46.333333333333336,4
28976,19.12,33.74,30.02,39.8,17.15,0.71,11.8,22.8,43.0,4
28977,67.45057794890306,118.12710293078135,17.574729662029362,28.560659061126955,23.48347601937197,2.2485982090856145,14.53197725590996,34.49143047551845,166.4635814889336,4
28978,67.45057794890306,118.12710293078135,17.574729662029362,28.560659061126955,23.48347601937197,2.2485982090856145,14.53197725590996,34.49143047551845,166.4635814889336,4
28979,82.65,113.65000000000002,9.91,17.84,113.39,0.98,12.57,31.97,156.0,4
28980,43.96,95.56,8.63,22.94,11.46,0.71,8.59,34.71,99.0,4
28981,57.0,94.74666666666667,6.18,5.59,3.78,1.08,40.64,103.83,172.0,4
28982,56.446666666666665,116.99,8.09,9.25,6.56,0.43,38.71,11.59,110.0,4
28983,15.15,33.9,1.14,3.61,1.51,0.68,0.44,22.94,46.0,4
28984,33.35,57.32,2.48,10.32,8.63,0.57,19.81,35.5,62.0,4
28985,58.23,122.01,12.61,21.47,20.09,1.06,10.6,53.22,182.0,4
28986,67.45057794890306,118.12710293078135,17.574729662029362,28.560659061126955,23.48347601937197,2.2485982090856145,14.53197725590996,34.49143047551845,166.4635814889336,4
28987,37.26,73.37,0.59,6.96,0.11,1.87,4.12,33.36333333333334,104.0,4
28988,27.56,36.223333333333336,33.12,26.54,38.35,0.0,66.44000000000001,26.786666666666665,40.0,4
28989,39.78,79.48,13.32,37.37,27.04,1.09,14.24,45.13,98.0,4
28990,49.79333333333333,116.82666666666667,14.683333333333332,37.156666666666666,0.24,0.0,6.466666666666666,34.14333333333333,85.66666666666667,4
28991,62.38,95.91,1.71,18.51,8.47,0.93,6.77,50.03,94.0,4
28992,67.45057794890306,118.12710293078135,17.574729662029362,28.560659061126955,23.48347601937197,2.2485982090856145,14.53197725590996,34.49143047551845,166.4635814889336,4
28993,67.45057794890306,118.12710293078135,17.574729662029362,28.560659061126955,23.48347601937197,2.2485982090856145,14.53197725590996,34.49143047551845,166.4635814889336,4
28994,101.94,247.53,55.11,56.82,40.97,1.76,20.84,50.86,263.0,4
28995,44.48,112.83,13.94,43.46,49.32,1.3,8.04,46.71,141.0,4
28996,68.28,140.98,29.12,21.59,59.3,1.48,4.94,23.88,115.0,4
28997,22.25,44.55,26.53,38.1,9.55,0.71,14.35,3.96,82.0,4
28998,16.64,29.76,2.69,7.85,2.39,0.87,5.26,32.13,52.0,4
28999,27.69,49.21,7.18,27.31,19.1,1.56,9.59,40.29,85.66666666666667,4
29000,67.45057794890306,118.12710293078135,17.574729662029362,28.560659061126955,23.48347601937197,2.2485982090856145,14.53197725590996,34.49143047551845,166.4635814889336,4
29001,32.09,63.73,3.71,18.55,15.54,0.55,5.49,41.44,68.0,4
29002,9.65,20.87,1.06,2.97,3.09,0.13,12.67,42.14,46.0,4
